,GR,M2R1,M2R2,M2R3,M2R6,M2R9,DT,ZDEN,ZCOR,CNC,log,Formação
4439.7168,84.2062,2.378,2.9224,3.2967,3.5117,3.5576,72.7325,2.4979,-0.0351,16.5875,LIS_003,Itajai-Açu e Ilha Bela
4439.8692,83.3874,2.3871,2.9392,3.3268,3.5551,3.6056,72.2931,2.5001,-0.0318,17.1244,LIS_003,Itajai-Açu e Ilha Bela
4440.0216,83.025,2.4,2.9609,3.3619,3.6031,3.6581,71.7757,2.5015,-0.0314,18.0086,LIS_003,Itajai-Açu e Ilha Bela
4440.174,82.6046,2.3933,2.958,3.3676,3.6183,3.6769,71.4293,2.4994,-0.0326,18.6663,LIS_003,Itajai-Açu e Ilha Bela
4440.3264,83.581,2.3642,2.9253,3.337,3.5928,3.6542,71.4226,2.4966,-0.036,18.8879,LIS_003,Itajai-Açu e Ilha Bela
4440.4788,86.8514,2.3318,2.886,3.2965,3.5547,3.6183,71.6407,2.4934,-0.0407,18.5291,LIS_003,Itajai-Açu e Ilha Bela
4440.6312,89.3287,2.3111,2.8595,3.2682,3.5282,3.5939,71.7872,2.4887,-0.0404,17.9054,LIS_003,Itajai-Açu e Ilha Bela
4440.7836,89.1932,2.3017,2.8449,3.2517,3.5129,3.5805,71.6977,2.4859,-0.0314,17.648,LIS_003,Itajai-Açu e Ilha Bela
4440.936,87.6706,2.2976,2.8346,3.2386,3.5,3.569,71.4249,2.4896,-0.0243,17.9826,LIS_003,Itajai-Açu e Ilha Bela
4441.0884,86.7091,2.2985,2.8289,3.2294,3.4902,3.5604,71.1887,2.4969,-0.0277,18.5123,LIS_003,Itajai-Açu e Ilha Bela
4441.2408,87.677,2.3021,2.8262,3.223,3.4824,3.5531,71.1757,2.5015,-0.0348,18.683,LIS_003,Itajai-Açu e Ilha Bela
